상품id,브랜드,판매가격,품번,상품명,주문일,구매확정일,status_id
797730,lokaum,35000,TWO-WAY_BL_S,블랙 투웨이 슬리브리스,2024-08-31 23:32:10.015162,2024-09-11 00:00:05.426977,900
797737,lokaum,35000,TWO-WAY_NV_S,네이비 투웨이 슬리브리스,2024-08-14 13:52:40.380215,2024-08-25 00:00:00.624562,900
797713,lokaum,35500,PERFORMANCE_NV_S,네이비 퍼포먼스 롱슬리브,2024-10-06 14:18:57.572807,2024-10-16 00:00:05.863429,900
797734,lokaum,30900,TWO-WAY_BL_XL,블랙 투웨이 슬리브리스,2024-10-27 22:57:24.439484,2024-11-07 00:00:05.910145,900
797710,lokaum,60500,MODALCROP_OL_FREE,올리브 모달 크롭 후디 퍼포먼스 요가복,2024-09-19 18:03:06.246633,2024-09-29 00:00:05.990742,900
797686,lokaum,66000,MODALCROP_NV_FREE,네이비 모달 크롭 후디 퍼포먼스 요가복,2024-08-14 16:18:23.737311,2024-08-25 00:00:00.624562,900
797687,lokaum,60500,MODALCROP_NV_FREE,네이비 모달 크롭 후디 퍼포먼스 요가복,2024-09-18 20:42:42.423169,2024-09-29 00:00:05.990742,900
797699,lokaum,60500,MODALCROP_BL_FREE,블랙 모달 크롭 후디 퍼포먼스 요가복,2024-09-22 23:06:57.576058,2024-10-03 00:00:06.135920,900
